NUMBER,NAME,RATING,STARTER
13-PP-241,SPARGE WATER BOOSTER PUMP,1.1,DOL
05-PP-208,ELUATE TANK,22,DOL
05-PP-209,ELUATE TANK,7.5,DOL
05-PP-210,ELUATE TANK,5.5,DOL
05-PP-283,ELUATE TANK,22,DOL
05-PP-282,ELUATE TANK,7.5,DOL
05-PP-310,ELUATE TANK,7.5,DOL
05-PP-520,ELUATE TANK,7.5,DOL
05-PP-521,ELUATE TANK,7.5,DOL
16-PP-93,PROMOTER TRANSFER PUMP,0.18,DOL
16-19-117,COPPER SULPHATER TRANSFER PUMP,0.25,DOL
16-FA-05,NASH VENTILATION FAN,0.75,DOL
16-AG-105,NASH MIXING TANK AGITATOR,22,DOL
16-PP-84,DEPRESSANT TRANSFER PUMP,1.5,DOL
23-CP-03,BIOX AIR BLOWER,1100,AT
23-CP-04,BIOX AIR BLOWER,1100,AT
23-CP-05,BIOX AIR BLOWER,1100,AT
23-CP-06,BIOX AIR BLOWER,1100,AT
23-CP-07,BIOX AIR BLOWER,1100,AT
18-PP-03,ROUGHER 1 CONCENTRATE PUMP,37,VSD
18-PP-04,ROUGHER 2/3 CONCENTRATE PUMP,15,VSD
18-PP-05,SCAVENGER CONCENTRATE PUMP,55,VSD
18-PP-01,FLOATATION FEED PUMP 1,160,VSD
18-SC-01A1B,FLOATATION FEED TRASH SCREEN 1,7.4,DOL
18-SC-02A1B,FLOATATION FEED TRASH SCREEN 2,7.4,DOL
18-PP-02,FLOATATION FEED PUMP 2,160,VSD
18-PP-06,SCAVANGER TAILS PUMP 1,110,VSD
18-PP-07,SCAVENGER TAILS PUMP 2,110,VSD
18-PP-08,CLEANER CONCENTRATE PUMP,30,VSD
18-PP-09,SCAVANGER CLEANER CONCENTRATE PUMP ,30,VSD
18-PP-10,SCAVENGER CLEANER TAILS PUMP 1,45,VSD
18-PP-11,SCAVENGER CLEANER TAILS PUMP 2,45,VSD
18-SP-05,,7.5,DOL
18-SP-04,,75,DOL
18-BL-01,FLOATATION AIR BLOWER 1,75,DOL
18-PP-12,FLOATATION AREA SUMP PUMPS ,11,DOL
18-PP-14,FLOATATION TAILS AREA SUMP PUMP,11,DOL
18-BL-02,FLOTATION AREA AIR BLOWER 2,75,DOL
18-AG-10,CLEANER CELL 1 AGITATOR,55,DOL
18-AG-11,CLEANER CELL 2 AGITATOR,55,DOL
18-AG-12,SCAVENGER CLEANER CELL 1 AGITATOR,55,DOL
18-AG-14,SCAVENGER CLEANER CELL 3 AGITATOR,55,DOL
18-AG-15,SCAVENGER CLEANER CELL 4 AGITATOR,55,DOL
18-PP-01,COLLECTOR DOZING PUMP 1,1.5,DOL
18-PP-02,COLLECTOR DOZING PUMP 2,1.5,DOL
18-PP-03,COLLECTOR DOZING PUMP 3,1.5,DOL
18-PP-04,COLLECTOR DOZING PUMP 4,1.5,DOL
18-SP-01,,75,DOL
27-PP-801,C15 FEED PUMMP 2,90,DOL
28-PP-484,TAILINGS STAGE 2 GLAND SEAL WATER PUMP 1,30,DOL
28-PP-483,TAILINGS STAGE 1 GLAND SEAL WATER PUMP 2,18.5,DOL
28-PP-268,PASTE PLANT SUMP PUMP 1,22,DOL
28-EQ-010,EQUIPPED SPARE,90,DOL
28-EQ-08,EQUIPPED SPARE,55,DOL
17-PP-184,POND 2 TRANSFER PUMP 2,132,DOL
28-EQ-02,EQUIPPED SPARE,5,DOL
17-PP-183,POND 2 TRANSFER PUMP 1,132,DOL
27-PP-800,CIS FEED PUMP 1,110,DOL
27-PP-848,CIS FEED PUMP 3,110,DOL
28-PP-499,PASTE PLANT TRANSFER PUMP B ST 2,110,DOL
28-PP-450,PASTE PLANT TRANSFER PUMP B ST 3,110,DOL
28-PP-448,PASTE PLANT TRANSFER PUMP B ST 1,110,DOL
28-PP-447,PASTE PLANT TRANSFER PUMP A ST 3,132,VSD
28-PP-411,BIOX CIL TAIL THICK ULF PUMP 2,160,VSD
28-PP-415,FLOAT TAILS PUMP 2 STAGE 2,132,VSD
28-PP-482,TAILS UNGS STAGE 1 GLAND SEAL WATER PUMP,18.5,DOL
28-EQ-09,EQUIPPED SPARE,45,DOL
28-PP-413,FLOAT TAILS PUMP 2 STAGE 1,110,DOL
28-PP-009,EQUIPPED SPARE,75,DOL
28-PP-411,BIOX CIL TAILINGS PUMP 1 STAGE 3,22,VSD
28-PP-412,FLOAT TAILS PUMP 1 STAGE 1,110,DOL
,,,
28-PP-418,BIOX CIL TAILINGS PUMP 1 STAGE 2,22,DOL
28-PP-428,BIOX TAILS SUMP PUMP 1,22,DOL
28-PP-414,FLOAT TAILS PUMP 1 STAGE 2,132,VSD
28-HYD-001,VALUE HYDROLIC PACK 1,132,DOL
28-HYD-002,VALUE HYDROLIC PACK 2,132,DOL
28-TP-846,BIOX TAILING SEEPAGE PUMP 1,132,DOL
